Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,4662,3765,25,1480,1266,914,16,7955,3537,25,25,25,89,-,2.3374ns,-,-,-,-,55,-,-
BF,1,4663,3829,27,1480,1308,929,16,8152,3574,27,27,27,96,-,2.3374ns,-,-,-,-,59,-,-
BF,1,4664,3823,25,1593,1242,885,16,8125,3584,25,25,25,87,-,2.2974ns,-,-,-,-,55,-,-
BF,1,4665,3823,25,1593,1242,885,16,8125,3584,25,25,25,87,-,2.2974ns,-,-,-,-,55,-,-
BF,1,4666,3823,25,1593,1242,885,16,8125,3584,25,25,25,87,-,2.2974ns,-,-,-,-,55,-,-
BF,1,4667,3823,25,1593,1242,885,16,8125,3584,25,25,25,87,-,2.2974ns,-,-,-,-,55,-,-
BF,1,4668,3742,26,1476,1242,916,16,7960,3540,26,26,26,92,-,2.2224ns,-,-,-,-,57,-,-
BF,1,4669,3742,26,1476,1242,916,16,7960,3540,26,26,26,92,-,2.2224ns,-,-,-,-,57,-,-
BF,1,4670,3742,26,1476,1242,916,16,7960,3540,26,26,26,92,-,2.2224ns,-,-,-,-,57,-,-
BF,1,4671,3742,26,1476,1242,916,16,7960,3540,26,26,26,92,-,2.2224ns,-,-,-,-,57,-,-
BF,1,4672,4021,22,1530,1362,1024,14,8535,3726,22,22,22,91,-,2.0401ns,-,-,-,-,46,-,-
BF,1,4673,4083,24,1530,1410,1031,14,8661,3758,24,24,24,98,-,2.0201ns,-,-,-,-,62,-,-
BF,1,4674,3811,20,1609,1290,823,14,7882,3522,20,20,20,75,-,2.3431ns,-,-,-,-,44,-,-
BF,1,4675,3880,22,1609,1332,844,14,8077,3563,22,22,22,81,-,2.3431ns,-,-,-,-,46,-,-
BF,1,4676,3985,23,1492,1320,1063,14,8564,3768,23,23,23,96,-,2.0001ns,-,-,-,-,47,-,-
BF,1,4677,4040,25,1492,1362,1070,14,8680,3796,25,25,25,102,-,2.0201ns,-,-,-,-,64,-,-
BF,1,4678,3704,21,1492,1266,861,14,7683,3442,21,21,21,71,-,2.3431ns,-,-,-,-,45,-,-
BF,1,4679,3768,23,1492,1308,878,14,7858,3467,23,23,23,76,-,2.3431ns,-,-,-,-,47,-,-
BF,1,4680,3851,23,1496,1248,1001,14,8339,3652,23,23,23,92,-,2.0001ns,-,-,-,-,47,-,-
BF,1,4681,3851,23,1496,1248,1001,14,8339,3652,23,23,23,92,-,2.0001ns,-,-,-,-,47,-,-
BF,1,4682,3772,21,1605,1242,838,14,7882,3512,21,21,21,73,-,2.3031ns,-,-,-,-,45,-,-
BF,1,4683,3772,21,1605,1242,838,14,7882,3512,21,21,21,73,-,2.3031ns,-,-,-,-,45,-,-
BF,1,4684,3773,24,1387,1242,1032,14,8300,3637,24,24,24,98,-,3.2936ns,-,-,-,-,48,-,-
BF,1,4685,3773,24,1387,1242,1032,14,8300,3637,24,24,24,98,-,3.2936ns,-,-,-,-,48,-,-
BF,1,4686,3681,22,1488,1242,864,14,7668,3434,22,22,22,73,-,2.2881ns,-,-,-,-,46,-,-
