Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,259,1802,14,588,846,315,14,3114,1451,14,14,14,39,-,2.9355ns,-,-,-,-,34,-,-
BF,1,260,2175,13,583,1098,436,12,3691,1710,13,13,13,46,-,3.0921ns,-,-,-,-,30,-,-
BF,1,261,2129,13,583,1098,398,12,3549,1653,13,13,13,38,-,2.8348ns,-,-,-,-,30,-,-
BF,1,262,3350,15,1684,1134,460,12,5758,2721,15,15,15,60,-,3.6871ns,-,-,-,-,24,-,-
BF,1,263,3235,15,1686,1110,383,12,5465,2611,15,15,15,44,-,3.4248ns,-,-,-,-,24,-,-
BF,1,264,6099,19,4468,1194,374,12,10308,4938,19,19,19,51,-,3.2109ns,-,-,-,-,20,-,-
BF,1,266,1999,13,583,960,381,12,3441,1600,14,14,14,63,-,3.0821ns,-,-,-,-,23,-,-
BF,1,267,1941,13,583,948,343,12,3291,1539,14,14,14,55,-,2.8548ns,-,-,-,-,23,-,-
BF,1,268,1975,14,583,948,383,12,3411,1586,14,14,14,49,-,3.0621ns,-,-,-,-,32,-,-
BF,1,269,1917,14,583,936,345,12,3261,1525,14,14,14,41,-,2.8348ns,-,-,-,-,32,-,-
BF,1,270,1868,11,578,942,326,0,3100,1434,11,11,11,22,-,2.7948ns,-,-,-,-,27,-,-
BF,1,271,1868,11,578,942,326,0,3100,1434,11,11,11,22,-,2.7948ns,-,-,-,-,27,-,-
BF,1,272,3024,13,1679,990,328,0,5070,2414,13,13,13,27,-,3.6448ns,-,-,-,-,21,-,-
BF,1,273,3024,13,1679,990,328,0,5070,2414,13,13,13,27,-,3.6448ns,-,-,-,-,21,-,-
BF,1,274,4991,1,4463,528,0,0,7952,3906,1,1,1,0,0,3.1409ns,-,-,-,-,1,-,-
BF,1,275,4991,1,4463,528,0,0,7952,3906,1,1,1,0,0,3.1409ns,-,-,-,-,1,-,-
BF,1,276,1699,11,578,816,268,0,2842,1347,12,12,12,37,-,2.7448ns,-,-,-,-,20,-,-
BF,1,277,1699,11,578,816,268,0,2842,1347,12,12,12,37,-,2.7448ns,-,-,-,-,20,-,-
BF,1,278,1668,12,578,798,270,0,2812,1334,12,12,12,22,-,2.7448ns,-,-,-,-,29,-,-
